                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.9617,                 8.4631,                  4.233,                0.00133,                    0.4,                0.00217,                0.00029,                      0,                    inf,                      0,                 0.0946,                 0.0006,                 0.0006
                      1,                 3.6827,                 5.7452,                 4.2329,                  0.001,                    0.3,                0.00137,                0.00025,                      0,                    inf,                      0,               0.088236,              0.0012356,              0.0012356
                      2,                 3.7361,                 5.0882,                 4.3214,                  0.002,                    0.6,                0.00242,                0.00049,                      0,                    inf,                      0,               0.081802,               0.001802,               0.001802
                      3,                 4.1921,                 5.3678,                 4.3478,                0.00167,                    0.5,                0.00172,                0.00042,                      0,                    inf,                      0,               0.075299,               0.002299,               0.002299
                      4,                 3.7331,                 5.1196,                 4.2369,                0.00167,                    0.5,                0.00175,                 0.0004,                      0,                    inf,                      0,               0.068727,              0.0027268,              0.0027268
                      5,                   3.75,                  6.026,                 4.2095,                0.00167,                    0.5,                0.00174,                0.00042,                      0,                    inf,                      0,               0.062085,              0.0030852,              0.0030852
                      6,                 4.6602,                 6.5581,                 4.2891,                0.00167,                    0.5,                0.00174,                0.00042,                      0,                    inf,                      0,               0.055374,              0.0033744,              0.0033744
                      7,                 3.9649,                 5.4422,                 4.2098,                0.00167,                    0.5,                0.00179,                0.00041,                      0,                    inf,                      0,               0.048594,              0.0035943,              0.0035943
                      8,                 4.5019,                 6.2074,                 4.1824,                0.00167,                    0.5,                0.00259,                0.00079,                      0,                    inf,                      0,               0.041745,              0.0037448,              0.0037448
                      9,                 4.1439,                 5.2542,                 4.2133,                0.00167,                    0.5,                0.00259,                0.00079,                      0,                    inf,                      0,               0.034826,              0.0038261,              0.0038261
                     10,                 4.3608,                 6.9906,                 4.1963,                0.00167,                    0.5,                0.00314,                0.00085,                      0,                    inf,                      0,               0.027838,               0.003838,               0.003838
                     11,                 4.7731,                 10.645,                 4.2465,                0.00167,                    0.5,                0.00314,                0.00085,                      0,                    inf,                      0,               0.020781,              0.0037807,              0.0037807
                     12,                   3.55,                    inf,                 3.6156,                0.00167,                    0.5,                0.00318,                0.00076,                      0,                    inf,                      0,               0.013654,               0.003654,               0.003654
                     13,                 3.9414,                 7.1875,                 4.2059,                0.00167,                    0.5,                0.00318,                0.00076,                      0,                    inf,                      0,               0.006458,               0.003458,               0.003458
                     14,                 3.7889,                 6.8155,                 4.2442,                0.00167,                    0.5,                0.00322,                0.00062,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     15,                 3.8734,                 6.3262,                  4.286,                0.00167,                    0.5,                0.00322,                0.00062,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     16,                 4.9328,                  8.338,                 4.1004,                0.00167,                    0.5,                0.00323,                0.00083,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     17,                  3.512,                  7.345,                 4.2488,                0.00167,                    0.5,                0.00323,                0.00083,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     18,                 3.2951,                 6.2154,                 4.3925,                0.00167,                    0.5,                0.00323,                0.00083,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     19,                 3.6689,                 6.2949,                 4.2886,                  0.002,                    0.6,                0.00443,                0.00089,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
